attack_folder,ids_sequence
129,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1057, T1018, T1057, T1071.001, T1204.002, T1204.002, T1204.002, T1204.002, T1204.002, T1204.002, T1547.004, T1059.003, T1548.002, T1071.001, T1059.003, T1112, T1112, T1112, T1112, T1112, T1112"
12_DustySkyCampaign,"T1071.001, T1566.002, T1204.002, T1071.001, T1049, T1083, T1059.003, T1087.002, T1059.001, T1057, T1071.001, T1204.002, T1547.001, T1113, T1106, T1074.001, T1005, T1071.001, T1548.002, T1071.001, T1059.003, T1490, T1059.001, T1562.001, T1112, T1562.009, T1112, T1112, T1562.001"
130,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1057, T1018, T1057, T1071.001, T1566.002, T1547.001, T1005, T1113, T1106, T1074.001, T1071.001, T1134, T1059.003, T1112, T1112, T1112, T1112, T1562.001, T1112"
131,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1087.002, T1059.001, T1135, T1071.001, T1566.002, T1547.004, T1113, T1005, T1106, T1560, T1112, T1071.001, T1134, T1059.003, T1112, T1112, T1059.001, T1562.001, T1112, T1112, T1562.009"
132,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1135, T1083, T1069.002, T1040, T1071.001, T1204.002, T1547.004, T1005, T1113, T1071.001, T1134, T1059.003, T1112, T1059.001, T1562.001, T1112, T1562.001, T1112, T1562.001, T1112"
133,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1059.003, T1069.001, T1083, T1082, T1135, T1057, T1071.001, T1566.002, T1547.004, T1106, T1074.001, T1113, T1005, T1204.002, T1543.003, T1548.002, T1071.001, T1059.003, T1490, T1059.001, T1071.001, T1059.001, T1562.001, T1562.009, T1562.001, T1112, T1112, T1112, T1112"
134,"T1071.001, T1204.002, T1071.001, T1059.003, T1069.001, T1059.001, T1135, T1087.001, T1083, T1053.005, T1005, T1113, T1106, T1560, T1134, T1059.003, T1112, T1562.009, T1490, T1059.001, T1562.001, T1562.001, T1112, T1562.001"
135,"T1071.001, T1566.002, T1204.002, T1071.001, T1057, T1083, T1059.003, T1018, T1071.001, T1204.002, T1053.005, T1059.001, T1005, T1113, T1106, T1074.001, T1548.002, T1071.001, T1059.001, T1562.001, T1059.003, T1112, T1112, T1562.001, T1112, T1562.001, T1112, T1112"
136,"T1071.001, T1566.002, T1204.002, T1071.001, T1057, T1087.001, T1059.001, T1082, T1134, T1071.001, T1059.001, T1204.002, T1547.004, T1106, T1074.001, T1005, T1113, T1562.001, T1059.003, T1112, T1112, T1112, T1562.009, T1112"
137,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.003, T1087.002, T1059.001, T1057, T1071.001, T1204.002, T1547.004, T1106, T1074.001, T1005, T1548.002, T1071.001, T1059.003, T1562.001, T1112, T1112, T1562.009, T1112, T1112, T1112"
138,"T1071.001, T1566.002, T1204.002, T1071.001, T1049, T1018, T1083, T1071.001, T1204.002, T1059.001, T1547.004, T1113, T1106, T1074.001, T1005, T1134, T1059.003, T1112, T1562.009, T1490, T1112, T1059.001, T1562.001, T1562.001, T1112, T1562.001"
139,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1040, T1083, T1018, T1134, T1071.001, T1204.002, T1059.001, T1547.001, T1005, T1113, T1562.001, T1562.001, T1059.003, T1562.001, T1112, T1562.009"
13_TrickLoadSpywareCampaign,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.003, T1018, T1083, T1049, T1071.001, T1204.002, T1053.005, T1059.001, T1005, T1113, T1071.001, T1134, T1059.003, T1490, T1562.001, T1562.009, T1112, T1562.001"
140,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1018, T1059.001, T1135, T1059.003, T1018, T1071.001, T1566.002, T1547.001, T1005, T1106, T1560, T1113, T1134, T1059.003, T1562.001, T1112, T1112, T1112, T1112, T1562.009, T1490"
141,"T1071.001, T1566.002, T1204.002, T1071.001, T1040, T1059.001, T1082, T1071.001, T1204.002, T1547.004, T1106, T1074.001, T1005, T1134, T1059.003, T1112, T1562.009, T1112, T1490, T1112, T1112, T1562.001, T1112"
142,"T1071.001, T1204.002, T1071.001, T1059.001, T1069.002, T1049, T1083, T1083, T1059.003, T1053.005, T1005, T1113, T1106, T1074.001, T1548.002, T1071.001, T1059.003, T1490, T1112, T1562.009, T1112, T1106, T1059.001, T1071.001, T1059.001, T1071.001, T1071.001, T1204.002, T1204.002, T1566.002, T1566.002, T1071.001, T1547.004, T1134, T1548.002, T1059.001, T1562.001, T1112"
